,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199602,3.4109,1.9928,3.2918,2.6538,3.3699,5.0756,4.7238,1.7456,2.2178,1.5536,5.8095,3.8043,2.0873,2.2328,1.7033,5.2104,0.8065,1.3734,0.948,-1.0854,1.0105,1.6407,1.5278,1.2541,2.2215
199603,2.8526,3.7319,2.4361,4.5647,2.1014,2.4182,2.2031,1.2352,1.8039,3.8545,2.5647,1.6129,3.6016,3.1267,2.1065,1.1624,1.1722,1.9864,0.6503,2.6414,-0.3124,1.3114,1.0228,2.2731,2.6769
199604,8.6148,9.4924,9.1235,5.6111,5.6522,10.4548,7.7709,2.7884,3.9929,6.2684,6.4299,3.4455,1.95,1.6472,0.4777,6.3407,5.016,3.2545,0.1886,-1.9405,1.4479,2.7249,1.5108,-0.9289,0.2603
199605,8.0608,6.0118,8.4679,7.4497,4.9233,6.264,3.8659,4.395,4.6508,7.4784,3.5362,3.1599,1.5655,1.8896,0.6847,3.0131,0.1239,1.3064,1.2282,0.4179,4.5373,1.0122,0.3598,2.4924,2.7191
199606,-7.4856,-5.8331,-4.9646,-3.2984,-2.3137,-6.6696,-3.7791,-1.9733,-0.2963,-5.4944,-7.7922,-1.3764,-1.242,-0.5225,-1.0857,-4.1019,-2.1841,-1.2964,0.9539,0.5325,1.4527,0.1886,0.4429,-0.6286,-2.5636
199607,-14.5677,-9.8752,-7.6166,-4.2708,-5.7306,-15.4177,-9.3522,-7.0612,-4.9623,-6.1479,-11.7616,-7.1884,-4.8894,-6.122,-6.0606,-8.9306,-5.0601,-5.2224,-4.201,-5.3094,-5.1902,-4.4775,-2.7851,-3.9728,-4.6568
199608,4.6451,4.5832,3.9395,4.0291,3.934,7.7213,6.3185,2.5425,4.8014,5.2546,8.2015,6.3748,5.7715,7.0192,4.3248,5.6965,5.7246,5.0373,4.8059,4.5665,1.4588,1.707,4.1146,2.3729,2.8224
199609,2.8191,2.5801,2.3385,3.0188,2.9228,5.7078,2.8205,2.2731,3.6782,4.1474,7.9695,4.3292,3.1472,2.0012,2.4407,5.7436,4.5532,3.0768,4.1167,3.7492,7.2927,4.8186,4.7156,3.5298,1.4872
199610,-5.6069,-2.2115,-1.2659,1.2716,0.8883,-5.2621,-2.0219,1.18,2.0538,1.1228,-6.4736,-2.6432,0.3677,2.2061,-0.2322,-3.7593,1.8287,1.5456,2.6755,3.1488,1.4585,1.7749,4.4422,4.94,5.9576
199611,-0.7215,2.2348,3.4257,4.5401,4.1981,1.393,3.206,5.0186,4.0835,4.2227,1.7709,6.4263,6.2874,6.2337,4.5839,5.6621,5.2186,6.5032,5.8358,8.63,7.8051,6.9843,7.845,8.469,6.9112
