gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,csho,epsfx,ni,costat
2403,12/31/14,2014,INDL,C,D,STD,BMY,110122108,BRISTOL-MYERS SQUIBB CO,USD,1661,1.2,2004,A
2403,12/31/15,2015,INDL,C,D,STD,BMY,110122108,BRISTOL-MYERS SQUIBB CO,USD,1669,0.93,1565,A
2403,12/31/16,2016,INDL,C,D,STD,BMY,110122108,BRISTOL-MYERS SQUIBB CO,USD,1672,2.65,4457,A
2403,12/31/17,2017,INDL,C,D,STD,BMY,110122108,BRISTOL-MYERS SQUIBB CO,USD,1633,0.61,1007,A
2547,12/31/13,2013,FS,C,D,STD,CI,125509109,CIGNA CORP,USD,,,,A
2547,12/31/13,2013,INDL,C,D,STD,CI,125509109,CIGNA CORP,USD,275.526,5.18,1476,A
2547,12/31/14,2014,FS,C,D,STD,CI,125509109,CIGNA CORP,USD,,,,A
2547,12/31/14,2014,INDL,C,D,STD,CI,125509109,CIGNA CORP,USD,259.276,7.83,2102,A
2547,12/31/15,2015,FS,C,D,STD,CI,125509109,CIGNA CORP,USD,,,,A
2547,12/31/15,2015,INDL,C,D,STD,CI,125509109,CIGNA CORP,USD,256.544,8.04,2094,A
2547,12/31/16,2016,FS,C,D,STD,CI,125509109,CIGNA CORP,USD,,,,A
2547,12/31/16,2016,INDL,C,D,STD,CI,125509109,CIGNA CORP,USD,256.869,7.19,1867,A
2547,12/31/17,2017,INDL,C,D,STD,CI,125509109,CIGNA CORP,USD,243.967,8.77,2237,A
2574,12/31/13,2013,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,1008.86,1.83,1864,A
2574,12/31/14,2014,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,991.591,1.92,1927,A
2574,12/31/15,2015,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,965.514,2,1968,A
2574,12/31/16,2016,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,928.18,1.81,1714,A
2574,12/31/17,2017,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,889.851,5.99,5471,A
2663,7/31/13,2013,INDL,C,D,STD,CPB,134429109,CAMPBELL SOUP CO,USD,312,2.17,458,A
2663,7/31/14,2014,INDL,C,D,STD,CPB,134429109,CAMPBELL SOUP CO,USD,313,2.33,818,A
2663,7/31/15,2015,INDL,C,D,STD,CPB,134429109,CAMPBELL SOUP CO,USD,310,2.21,691,A
2663,7/31/16,2016,INDL,C,D,STD,CPB,134429109,CAMPBELL SOUP CO,USD,308,1.81,563,A
2663,7/31/17,2017,INDL,C,D,STD,CPB,134429109,CAMPBELL SOUP CO,USD,301,2.89,887,A
2710,2/28/14,2013,INDL,C,D,STD,STZ,21036P108,CONSTELLATION BRANDS,USD,191.47,9.83,1943.1,A
2710,2/28/15,2014,INDL,C,D,STD,STZ,21036P108,CONSTELLATION BRANDS,USD,194.541,4.17,839.3,A
2710,2/29/16,2015,INDL,C,D,STD,STZ,21036P108,CONSTELLATION BRANDS,USD,199.459,5.18,1054.9,A
2710,2/28/17,2016,INDL,C,D,STD,STZ,21036P108,CONSTELLATION BRANDS,USD,194.598,7.52,1535.1,A
2751,6/30/13,2013,INDL,C,D,STD,CAH,14149Y108,CARDINAL HEALTH INC,USD,339,0.97,334,A
2751,6/30/14,2014,INDL,C,D,STD,CAH,14149Y108,CARDINAL HEALTH INC,USD,337,3.37,1166,A
2751,6/30/15,2015,INDL,C,D,STD,CAH,14149Y108,CARDINAL HEALTH INC,USD,328,3.61,1215,A
2751,6/30/16,2016,INDL,C,D,STD,CAH,14149Y108,CARDINAL HEALTH INC,USD,322,4.32,1427,A
2751,6/30/17,2017,INDL,C,D,STD,CAH,14149Y108,CARDINAL HEALTH INC,USD,316,4.03,1288,A
2817,12/31/13,2013,INDL,C,D,STD,CAT,149123101,CATERPILLAR INC,USD,637.822,5.75,3789,A
2817,12/31/14,2014,INDL,C,D,STD,CAT,149123101,CATERPILLAR INC,USD,606.167,5.88,3695,A
2817,12/31/15,2015,INDL,C,D,STD,CAT,149123101,CATERPILLAR INC,USD,582.322,3.5,2102,A
2817,12/31/16,2016,INDL,C,D,STD,CAT,149123101,CATERPILLAR INC,USD,586.486,-0.11,-67,A
2817,12/31/17,2017,INDL,C,D,STD,CAT,149123101,CATERPILLAR INC,USD,597.626,1.26,754,A
2884,12/31/13,2013,INDL,C,D,STD,CTL,156700106,CENTURYLINK INC,USD,583.637,-0.4,-239,A
2884,12/31/14,2014,INDL,C,D,STD,CTL,156700106,CENTURYLINK INC,USD,568.517,1.36,772,A
2884,12/31/15,2015,INDL,C,D,STD,CTL,156700106,CENTURYLINK INC,USD,543.8,1.58,878,A
2884,12/31/16,2016,INDL,C,D,STD,CTL,156700106,CENTURYLINK INC,USD,546.545,1.16,626,A
2968,12/31/13,2013,FS,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,,,,A
2968,12/31/13,2013,INDL,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,3756.108,4.35,17923,A
2968,12/31/14,2014,FS,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,,,,A
2968,12/31/14,2014,INDL,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,3714.789,5.29,21762,A
2968,12/31/15,2015,FS,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,,,,A
2968,12/31/15,2015,INDL,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,3663.475,6,24442,A
2968,12/31/16,2016,FS,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,,,,A
2968,12/31/16,2016,INDL,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,3561.19,6.19,24733,A
2968,12/31/17,2017,FS,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,,,,A
2968,12/31/17,2017,INDL,C,D,STD,JPM,46625H100,JPMORGAN CHASE & CO,USD,3425.3,6.31,24441,A
2991,12/31/13,2013,INDL,C,D,STD,CVX,166764100,CHEVRON CORP,USD,1913.603,11.09,21423,A
2991,12/31/14,2014,INDL,C,D,STD,CVX,166764100,CHEVRON CORP,USD,1879.649,10.14,19241,A
2991,12/31/15,2015,INDL,C,D,STD,CVX,166764100,CHEVRON CORP,USD,1882.814,2.45,4587,A
